,SYMBOL,NAME OF COMPANY,cm04JUL2024bhav.csv,cm03JUL2024bhav.csv,cm02JUL2024bhav.csv,cm01JUL2024bhav.csv
1493,SECURKLOUD,SECUREKLOUD TECHNOLOGIES LIMITED,,,,
1494,SEJALLTD,Sejal Glass Limited,,,,
1495,SELAN,Selan Exploration Technology Limited,722.55,715.5,713.0,725.3
1496,SELMC,SEL Manufacturing Company Limited,60.46,60.2,59.57,60.0
1497,SEPC,SEPC Limited,19.34,19.61,19.16,18.8
1498,SEPOWER,S.E. Power Limited,,,,
1499,SEQUENT,Sequent Scientific Limited,133.95,126.04,124.96,122.13
1500,SERVOTECH,Servotech Power Systems Limited,88.36,89.32,87.79,88.15
1501,SESHAPAPER,Seshasayee Paper and Boards Limited,358.1,361.7,362.0,336.6
1502,SETCO,Setco Automotive Limited,,,,
1503,SETUINFRA,Setubandhan Infrastructure Limited,,,,
1504,SEYAIND,Seya Industries Limited,,,,
1505,SFL,Sheela Foam Limited,995.0,969.0,942.5,937.75
1506,SGIL,Synergy Green Industries Limited,392.5,390.1,366.0,353.9
1507,SGL,STL Global Limited,17.58,17.3,17.29,17.98
1508,SHAHALLOYS,Shah Alloys Limited,64.3,62.5,63.0,61.37
1509,SHAILY,Shaily Engineering Plastics Limited,885.0,890.15,892.0,844.0
1510,SHAKTIPUMP,Shakti Pumps (India) Limited,,,,
1511,SHALBY,Shalby Limited,277.9,278.4,272.0,273.3
1512,SHALPAINTS,Shalimar Paints Limited,154.12,140.11,137.8,140.0
1513,SHANKARA,Shankara Building Products Limited,716.5,714.0,699.0,690.8
1514,SHANTI,Shanti Overseas (India) Limited,,,,
1515,SHANTIGEAR,Shanthi Gears Limited,618.5,632.0,607.75,617.0
1516,SHARDACROP,Sharda Cropchem Limited,487.0,491.0,490.0,494.2
1517,SHARDAMOTR,Sharda Motor Industries Limited,2579.8,2481.0,2484.0,2570.0
1518,SHAREINDIA,Share India Securities Limited,304.8,295.75,286.4,304.0
1519,SHEMAROO,Shemaroo Entertainment Limited,159.0,164.4,157.4,147.5
1520,SHILPAMED,Shilpa Medicare Limited,577.5,582.0,573.85,565.0
1521,SHIVALIK,Shivalik Rasayan Limited,745.5,754.2,648.0,626.95
1522,SHIVAMAUTO,Shivam Autotech Limited,41.6,39.6,40.0,40.58
1523,SHIVAMILLS,Shiva Mills Limited,92.65,93.3,92.44,93.24
1524,SHIVATEX,Shiva Texyarn Limited,187.5,182.0,171.0,178.9
1525,SHK,S H Kelkar and Company Limited,198.0,197.5,194.76,194.25
1526,SHOPERSTOP,Shoppers Stop Limited,782.5,771.0,759.9,758.9
1527,SHRADHA,Shradha Infraprojects Limited,,,,
1528,SHREDIGCEM,Shree Digvijay Cement Co.Ltd,113.2,113.2,113.95,113.9
1529,SHREECEM,SHREE CEMENT LIMITED,27523.0,27412.4,27626.0,28250.0
1530,SHREEPUSHK,Shree Pushkar Chemicals & Fertilisers Limited,222.25,227.0,213.9,213.98
1531,SHREERAMA,Shree Rama Multi-Tech Limited,,,,
1532,SHRENIK,Shrenik Limited,1.39,1.33,1.27,1.16
1533,SHREYANIND,Shreyans Industries Limited,275.7,276.0,293.4,277.95
1534,SHREYAS,Shreyas Shipping & Logistics Limited,340.05,342.7,338.05,345.0
1535,SHRIPISTON,Shriram Pistons & Rings Limited,1890.5,1877.3,1886.0,1896.95
1536,SHRIRAMFIN,Shriram Finance Limited,2832.4,2864.95,2838.0,2930.0
1537,SHRIRAMPPS,Shriram Properties Limited,110.1,111.26,112.3,112.01
1538,SHYAMCENT,Shyam Century Ferrous Limited,,,,
1539,SHYAMMETL,Shyam Metalics and Energy Limited,724.8,728.5,704.0,717.15
1540,SHYAMTEL,Shyam Telecom Limited,,,,
1541,SIEMENS,Siemens Limited,7851.0,7775.45,7750.0,7882.0
1542,SIGACHI,Sigachi Industries Limited,62.75,63.55,60.15,60.2
1543,SIGIND,Signet Industries Limited,86.9,86.62,86.55,88.15
1544,SIKKO,Sikko Industries Limited,,,,
1545,SIL,Standard Industries Limited,26.52,26.25,25.5,25.54
1546,SILGO,Silgo Retail Limited,35.65,36.2,36.14,36.05
1547,SILINV,SIL Investments Limited,607.0,599.0,602.05,562.65
1548,SILLYMONKS,Silly Monks Entertainment Limited,17.5,18.45,18.47,18.15
1549,SILVERTUC,Silver Touch Technologies Limited,740.0,722.0,729.5,737.0
1550,SIMBHALS,Simbhaoli Sugars Limited,,,,
1551,SIMPLEXINF,Simplex Infrastructures Limited,,,,
1552,SINTERCOM,Sintercom India Limited,139.78,137.71,140.0,139.99
1553,SIRCA,Sirca Paints India Limited,350.75,344.95,328.0,320.8
1554,SIS,SIS LIMITED,457.2,447.25,454.95,451.4
1555,SITINET,Siti Networks Limited,,,,
1556,SIYSIL,Siyaram Silk Mills Limited,513.0,510.5,513.4,518.45
1557,SJS,S.J.S. Enterprises Limited,856.85,830.15,816.0,810.0
1558,SJVN,SJVN Limited,140.07,136.2,131.0,131.9
1559,SKFINDIA,SKF India Limited,6399.9,6450.0,6499.8,6545.0
1560,SKIL,SKIL Infrastructure Limited,,,,
1561,SKIPPER,Skipper Limited,392.8,367.0,364.5,363.0
1562,SKMEGGPROD,SKM Egg Products Export (India) Limited,261.5,260.15,261.8,260.0
1563,SKYGOLD,Sky Gold Limited,,,,
1564,SMARTLINK,Smartlink Holdings Limited,,,,
1565,SMCGLOBAL,SMC Global Securities Limited,154.5,157.01,164.0,165.11
1566,SMLISUZU,SML Isuzu Limited,2070.0,2124.0,2167.95,2159.9
1567,SMLT,Sarthak Metals Limited,199.87,194.0,195.75,197.51
1568,SMSLIFE,SMS Lifesciences India Limited,840.0,846.15,854.2,845.2
1569,SMSPHARMA,SMS Pharmaceuticals Limited,245.35,246.98,246.98,248.0
1570,SNOWMAN,Snowman Logistics Limited,78.9,80.4,80.78,76.2
1571,SOBHA,Sobha Limited,2041.0,1954.0,1990.0,1905.0
1572,SOFTTECH,Softtech Engineers Limited,357.45,372.1,383.7,389.75
1573,SOLARA,Solara Active Pharma Sciences Limited,559.0,569.5,587.0,575.95
1574,SOLARINDS,Solar Industries India Limited,12075.0,11998.0,10930.0,10130.0
1575,SOMANYCERA,Somany Ceramics Limited,817.95,830.0,828.0,824.9
1576,SOMATEX,Soma Textiles & Industries Limited,,,,
1577,SOMICONVEY,Somi Conveyor Beltings Limited,,,,
1578,SONACOMS,Sona BLW Precision Forgings Limited,665.3,670.85,672.0,668.25
1579,SONAMCLOCK,Sonam Clock Limited,,,,
1580,SONATSOFTW,Sonata Software Limited,649.95,627.25,630.0,619.0
1581,SOTL,Savita Oil Technologies Limited,626.1,594.1,557.5,568.8
1582,SOUTHBANK,The South Indian Bank Limited,26.84,26.79,26.6,27.06
1583,SOUTHWEST,South West Pinnacle Exploration Limited,123.5,114.87,112.5,117.19
1584,SPAL,S. P. Apparels Limited,795.0,760.0,755.1,762.25
1585,SPANDANA,Spandana Sphoorty Financial Limited,741.0,742.0,737.0,731.95
1586,SPARC,Sun Pharma Advanced Research Company Limited,242.77,241.0,235.0,240.75
1587,SPCENET,Spacenet Enterprises India Limited,32.8,32.01,32.3,32.37
1588,SPECIALITY,Speciality Restaurants Limited,172.99,171.14,173.0,173.43
1589,SPENCERS,Spencer's Retail Limited,86.85,87.6,89.0,91.0
1590,SPENTEX,Spentex Industries Limited,,,,
1591,SPIC,Southern Petrochemicals Industries Corporation  Limited,84.49,83.9,82.85,83.76
1592,SPLIL,SPL Industries Limited,61.8,62.4,62.4,63.9
1593,SPLPETRO,Supreme Petrochem Limited,784.85,786.0,781.2,772.0
1594,SPMLINFRA,SPML Infra Limited,193.34,184.14,175.38,167.03
1595,SPORTKING,Sportking India Limited,866.0,872.9,885.0,885.0
1596,SPTL,Sintex Plastics Technology Limited,,,,
1597,SPYL,Shekhawati Poly-Yarn Limited,,,,
1598,SREEL,Sreeleathers Limited,295.0,293.0,293.0,287.55
1599,SREINFRA,SREI Infrastructure Finance Limited,,,,
1600,SRF,SRF Limited,2393.0,2383.0,2405.0,2460.0
1601,SRHHYPOLTD,Sree Rayalaseema Hi-Strength Hypo Limited,563.95,568.0,554.0,556.75
1602,SRPL,Shree Ram Proteins Limited,,,,
1603,SSWL,Steel Strips Wheels Limited,236.0,226.25,223.4,225.0
1604,STAMPEDE,Stampede Capital Limited,,,,
1605,STAR,Strides Pharma Science Limited,951.3,956.0,942.0,945.0
1606,STARCEMENT,Star Cement Limited,210.8,210.1,210.37,211.0
1607,STARHEALTH,Star Health and Allied Insurance Company Limited,587.7,576.0,569.5,573.6
1608,STARPAPER,Star Paper Mills Limited,267.0,267.8,270.1,251.75
1609,STARTECK,Starteck Finance Limited,297.0,293.4,295.0,294.1
1610,STCINDIA,The State Trading Corporation of India Limited,179.5,178.0,152.75,156.6
1611,STEELCAS,Steelcast Limited,674.7,688.35,689.0,686.9
1612,STEELCITY,Steel City Securities Limited,90.29,90.92,90.35,93.17
1613,STEELXIND,STEEL EXCHANGE INDIA LIMITED,14.18,14.4,14.5,14.81
1614,STEL,Stel Holdings Limited,462.6,467.9,469.9,457.0
1615,STERTOOLS,Sterling Tools Limited,379.0,377.0,377.3,369.0
1616,STLTECH,Sterlite Technologies Limited,141.89,143.04,143.1,143.8
1617,STOVEKRAFT,Stove Kraft Limited,641.35,640.0,633.9,646.8
1618,STYLAMIND,Stylam Industries Limited,1967.0,1950.05,1965.4,1946.65
1619,STYRENIX,Styrenix Performance Materials Limited,2291.1,2280.0,2242.45,2123.45
1620,SUBEXLTD,Subex Limited,32.35,32.77,30.65,30.91
1621,SUBROS,Subros Limited,715.85,721.95,733.0,758.85
1622,SUDARSCHEM,Sudarshan Chemical Industries Limited,922.1,927.0,923.0,901.15
1623,SUKHJITS,Sukhjit Starch & Chemicals Limited,475.0,474.95,468.75,460.0
1624,SULA,Sula Vineyards Limited,503.0,499.65,501.8,499.0
1625,SUMEETINDS,Sumeet Industries Limited,,,,
1626,SUMICHEM,Sumitomo Chemical India Limited,494.75,493.95,513.15,477.0
1627,SUMIT,Sumit Woods Limited,,,,
1628,SUMMITSEC,Summit Securities Limited,1919.8,1947.7,1902.0,1960.0
1629,SUNCLAYLTD,Sundaram Clayton Limited,,,,
1630,SUNDARAM,Sundaram Multi Pap Limited,3.28,3.31,3.35,3.05
1631,SUNDARMFIN,Sundaram Finance Limited,4598.0,4590.0,4580.0,4626.0
1632,SUNDARMHLD,Sundaram Finance Holdings Limited,264.7,271.45,274.95,274.5
1633,SUNDRMBRAK,Sundaram Brake Linings Limited,784.7,796.0,772.95,760.0
1634,SUNDRMFAST,Sundram Fasteners Limited,1406.0,1425.0,1393.15,1352.4
1635,SUNFLAG,Sunflag Iron And Steel Company Limited,254.0,235.0,235.0,225.1
1636,SUNPHARMA,Sun Pharmaceutical Industries Limited,1562.0,1530.0,1522.0,1513.5
1637,SUNTECK,Sunteck Realty Limited,539.5,544.5,555.2,562.75
1638,SUNTV,Sun TV Network Limited,783.0,792.0,783.9,776.05
1639,SUPERHOUSE,Superhouse Limited,218.5,217.62,221.26,216.95
1640,SUPERSPIN,Super Spinning Mills Limited,8.53,8.3,8.35,8.4
1641,SUPRAJIT,Suprajit Engineering Limited,525.25,521.7,519.9,515.55
1642,SUPREMEENG,Supreme Engineering Limited,,,,
1643,SUPREMEIND,Supreme Industries Limited,6003.0,6105.0,6000.0,5975.0
1644,SUPREMEINF,Supreme Infrastructure India Limited,,,,
1645,SUPRIYA,Supriya Lifescience Limited,403.0,411.0,401.0,398.3
1646,SURANASOL,Surana Solar Limited,,,,
1647,SURANAT&P,Surana Telecom and Power Limited,29.55,28.15,26.81,25.54
1648,SURYALAXMI,Suryalakshmi Cotton Mills Limited,88.18,90.5,85.49,88.59
1649,SURYAROSNI,Surya Roshni Limited,675.0,677.4,667.5,626.8
1650,SURYODAY,Suryoday Small Finance Bank Limited,192.3,190.85,189.69,190.48
1651,SUTLEJTEX,Sutlej Textiles and Industries Limited,62.27,63.01,63.0,64.49
1652,SUULD,Suumaya Industries Limited,,,5.74,5.68
1653,SUVEN,Suven Life Sciences Limited,116.79,106.0,106.0,109.0
1654,SUVENPHAR,Suven Pharmaceuticals Limited,816.0,822.9,834.25,820.0
1655,SUVIDHAA,Suvidhaa Infoserve Limited,5.55,5.56,5.5,5.32
1656,SUZLON,Suzlon Energy Limited,54.0,53.56,53.1,52.9
1657,SVLL,Shree Vasu Logistics Limited,230.0,226.99,228.0,229.99
1658,SVPGLOB,SVP GLOBAL TEXTILES LIMITED,7.91,7.98,7.9,8.14
1659,SWANENERGY,Swan Energy Limited,633.0,616.0,619.7,616.2
1660,SWARAJENG,Swaraj Engines Limited,2895.0,2849.0,2823.0,2887.0
1661,SWELECTES,Swelect Energy Systems Limited,1300.0,1331.0,1250.0,1237.5
1662,SWSOLAR,Sterling and Wilson Renewable Energy Limited,708.0,723.8,691.0,711.0
1663,SYMPHONY,Symphony Limited,1151.1,1170.15,1183.9,1212.3
1664,SYNCOMF,Syncom Formulations (India) Limited,12.68,12.82,12.91,12.81
1665,SYNGENE,Syngene International Limited,725.5,717.05,714.0,716.8
1666,SYRMA,Syrma SGS Technology Limited,506.25,495.05,487.0,492.05
1667,TAINWALCHM,Tainwala Chemical and Plastic (I) Limited,,,,
1668,TAJGVK,Taj GVK Hotels & Resorts Limited,330.4,329.95,326.0,332.1
1669,TAKE,Take Solutions Limited,21.35,21.27,20.85,21.12
1670,TALBROAUTO,Talbros Automotive Components Limited,338.0,343.7,336.5,321.45
1671,TANLA,Tanla Platforms Limited,966.0,969.5,964.0,970.0
1672,TANTIACONS,Tantia Constructions Limited,,,,
1673,TARAPUR,Tarapur Transformers Limited,,,,
1674,TARC,TARC Limited,221.55,216.99,208.01,191.85
1675,TARMAT,Tarmat Limited,,,,
1676,TARSONS,Tarsons Products Limited,500.8,504.1,508.5,509.3
1677,TASTYBITE,Tasty Bite Eatables Limited,10398.9,10400.0,10648.15,10625.95
1678,TATACHEM,Tata Chemicals Limited,1104.0,1106.0,1098.5,1107.5
1679,TATACOFFEE,Tata Coffee Limited,,,,
1680,TATACOMM,Tata Communications Limited,1877.0,1895.0,1883.0,1855.9
1681,TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,1136.7,1144.25,1110.0,1096.0
1682,TATAELXSI,Tata Elxsi Limited,7071.0,7097.85,7063.0,7075.0
1683,TATAINVEST,Tata Investment Corporation Limited,6594.95,6599.0,6672.0,6571.0
1684,TATAMETALI,Tata Metaliks Limited,,,,
1685,TATAMOTORS,Tata Motors Limited,1002.5,977.25,982.5,1000.0
1686,TATAMTRDVR,Tata Motors Limited,678.6,662.0,660.5,675.0
1687,TATAPOWER,Tata Power Company Limited,436.75,434.4,432.7,435.0
1688,TATASTEEL,Tata Steel Limited,176.5,176.38,174.61,174.25
1689,TATASTLLP,Tata Steel Long Products Limited,,,,
1690,TATVA,Tatva Chintan Pharma Chem Limited,1150.1,1130.0,1127.0,1135.0
1691,TBZ,Tribhovandas Bhimji Zaveri Limited,131.5,131.0,130.7,123.1
1692,TCI,Transport Corporation of India Limited,949.0,939.0,947.45,927.0
1693,TCIEXP,TCI Express Limited,1260.0,1260.0,1255.0,1239.9
1694,TCIFINANCE,TCI Finance Limited,,,,
1695,TCNSBRANDS,TCNS Clothing Co. Limited,563.2,554.9,556.9,550.0
1696,TCPLPACK,TCPL Packaging Limited,2493.0,2519.85,2470.05,2520.0
1697,TCS,Tata Consultancy Services Limited,4019.95,3968.0,4009.8,3963.45
1698,TDPOWERSYS,TD Power Systems Limited,385.1,384.6,371.0,361.0
1699,TEAMLEASE,Teamlease Services Limited,2951.0,2897.0,2960.0,3015.0
1700,TECHIN,Techindia Nirman Limited,,,,
1701,TECHM,Tech Mahindra Limited,1462.0,1476.55,1471.8,1473.0
1702,TECHNOE,Techno Electric & Engineering Company Limited,,,,
1703,TECILCHEM,TECIL Chemicals and Hydro Power Limited,,,,
1704,TEGA,Tega Industries Limited,1761.0,1655.0,1624.85,1636.85
1705,TEJASNET,Tejas Networks Limited,1433.0,1451.1,1437.0,1423.0
1706,TEMBO,Tembo Global Industries Limited,233.5,232.0,233.76,235.1
1707,TERASOFT,Tera Software Limited,,,,
1708,TEXINFRA,Texmaco Infrastructure & Holdings Limited,140.0,142.6,139.88,138.2
1709,TEXMOPIPES,Texmo Pipes and Products Limited,76.0,76.54,76.89,76.62
1710,TEXRAIL,Texmaco Rail & Engineering Limited,254.0,253.5,254.9,252.6
1711,TFCILTD,Tourism Finance Corporation of India Limited,203.1,205.15,200.95,204.7
1712,TFL,Transwarranty Finance Limited,,,,
1713,TGBHOTELS,TGB Banquets And Hotels Limited,16.9,16.75,16.5,17.1
1714,THANGAMAYL,Thangamayil Jewellery Limited,1760.25,1752.0,1754.0,1719.6
1715,THEINVEST,The Investment Trust Of India Limited,187.94,170.86,155.0,155.05
1716,THEMISMED,Themis Medicare Limited,205.0,206.0,210.78,211.0
1717,THERMAX,Thermax Limited,5289.95,5300.0,5190.0,5299.0
1718,THOMASCOOK,Thomas Cook  (India)  Limited,250.4,252.0,248.5,245.0
1719,THOMASCOTT,Thomas Scott (India) Limited,,,,
1720,THYROCARE,Thyrocare Technologies Limited,644.95,641.95,653.8,652.5
1721,TI,Tilaknagar Industries Limited,245.1,243.5,245.65,246.85
1722,TIDEWATER,Tide Water Oil Company (India) Limited,2359.0,2398.0,2395.0,2370.0
1723,TIIL,Technocraft Industries (India) Limited,2906.1,2875.0,2895.0,2901.0
1724,TIINDIA,Tube Investments of India Limited,4304.9,4220.0,4119.35,4221.05
1725,TIJARIA,Tijaria Polypipes Limited,,,,
1726,TIL,TIL Limited,,,,
1727,TIMESGTY,Times Guaranty Limited,130.0,129.44,134.0,130.0
1728,TIMETECHNO,Time Technoplast Limited,330.0,333.8,334.9,331.7
1729,TIMKEN,Timken India Limited,4375.0,4403.85,4310.0,4327.9
1730,TINPLATE,The Tinplate Company of India Limited,,,,
1731,TIPSFILMS,Tips Films Limited,545.0,551.9,550.0,565.0
1732,TIPSINDLTD,TIPS Industries Limited,459.95,450.1,453.0,438.0
1733,TIRUMALCHM,Thirumalai Chemicals Limited,315.0,317.0,311.5,307.05
1734,TIRUPATIFL,Tirupati Forge Limited,,,,
1735,TITAN,Titan Company Limited,3338.0,3362.0,3400.05,3434.95
1736,TMB,Tamilnad Mercantile Bank Limited,481.0,480.55,483.4,471.5
1737,TNPETRO,Tamilnadu PetroProducts Limited,97.0,98.3,99.0,100.98
1738,TNPL,Tamil Nadu Newsprint & Papers Limited,285.0,290.3,291.0,274.6
1739,TNTELE,Tamilnadu Telecommunication Limited,,,,
1740,TOKYOPLAST,Tokyo Plast International Limited,125.0,124.95,123.0,116.0
1741,TORNTPHARM,Torrent Pharmaceuticals Limited,2869.0,2837.3,2824.0,2781.65
1742,TORNTPOWER,Torrent Power Limited,1512.9,1496.4,1473.9,1463.0
1743,TOTAL,Total Transport Systems Limited,,,,
1744,TOUCHWOOD,Touchwood Entertainment Limited,142.05,146.0,146.0,147.98
1745,TPLPLASTEH,TPL Plastech Limited,96.3,90.88,91.45,89.95
1746,TRACXN,Tracxn Technologies Limited,97.0,91.75,91.9,92.65
1747,TREEHOUSE,Tree House Education & Accessories Limited,28.5,26.95,27.5,28.6
1748,TREJHARA,TREJHARA SOLUTIONS LIMITED,,,,
1749,TRENT,Trent Limited,5590.0,5504.0,5542.0,5508.0
1750,TRF,TRF Limited,,,,
1751,TRIDENT,Trident Limited,38.3,38.46,38.64,39.04
1752,TRIGYN,Trigyn Technologies Limited,,,,
1753,TRIL,Transformers And Rectifiers (India) Limited,,,,
1754,TRITURBINE,Triveni Turbine Limited,647.0,643.0,607.3,610.5
1755,TRIVENI,Triveni Engineering & Industries Limited,392.2,392.5,392.45,396.9
1756,TTKHLTCARE,TTK Healthcare Limited,1450.0,1449.95,1450.0,1465.0
1757,TTKPRESTIG,TTK Prestige Limited,862.0,837.0,837.0,823.95
1758,TTL,T T Limited,119.0,115.0,118.49,112.85
1759,TTML,Tata Teleservices (Maharashtra) Limited,76.7,76.72,76.7,77.96
1760,TV18BRDCST,TV18 Broadcast Limited,44.95,45.51,45.68,41.63
1761,TVSELECT,TVS Electronics Limited,362.25,358.9,350.0,349.1
1762,TVSMOTOR,TVS Motor Company Limited,2369.0,2313.0,2335.0,2356.0
1763,TVSSRICHAK,TVS Srichakra Limited,4389.0,4483.0,4275.0,4370.0
1764,TVTODAY,TV Today Network Limited,238.0,242.0,244.7,236.7
1765,TVVISION,TV Vision Limited,,,,
1766,TWL,Titagarh Wagons Limited,,,,
1767,UBL,United Breweries Limited,2015.45,2029.7,2024.0,2009.6
1768,UCALFUEL,Ucal Fuel Systems Limited,,,,
1769,UCOBANK,UCO Bank,53.96,54.14,53.87,54.6
1770,UDAICEMENT,Udaipur Cement Works Limited,46.7,47.18,48.1,47.5
1771,UFLEX,UFLEX Limited,565.65,562.95,537.0,524.45
1772,UFO,UFO Moviez India Limited,134.37,135.55,134.5,135.9
1773,UGARSUGAR,The Ugar Sugar Works Limited,82.5,82.7,83.62,83.3
1774,UGROCAP,Ugro Capital Limited,273.0,276.25,276.6,280.45
1775,UJAAS,Ujaas Energy Limited,,,,
1776,UJJIVAN,Ujjivan Financial Services Limited,,,,
1777,UJJIVANSFB,Ujjivan Small Finance Bank Limited,44.93,44.25,44.14,44.48
1778,ULTRACEMCO,UltraTech Cement Limited,11770.05,11885.0,11855.0,11900.0
1779,UMAEXPORTS,Uma Exports Limited,,,,
1780,UMANGDAIRY,Umang Dairies Limited,113.89,116.55,115.51,117.0
1781,UMESLTD,Usha Martin Education & Solutions Limited,7.38,6.71,6.1,5.45
1782,UNICHEMLAB,Unichem Laboratories Limited,535.0,532.0,533.2,529.0
1783,UNIDT,United Drilling Tools Limited,232.2,233.05,232.18,230.5
1784,UNIENTER,Uniphos Enterprises Limited,174.0,167.1,169.95,172.2
1785,UNIINFO,Uniinfo Telecom Services Limited,39.8,40.05,41.8,41.03
1786,UNIONBANK,Union Bank of India,136.1,136.4,134.45,135.79
1787,UNIPARTS,Uniparts India Limited,519.5,521.0,521.0,522.5
1788,UNITECH,Unitech Limited,,,,
1789,UNITEDPOLY,United Polyfab Gujarat Limited,92.9,87.71,86.86,88.85
1790,UNITEDTEA,The United Nilgiri Tea Estates Company Limited,403.0,400.0,401.8,408.75
1791,UNIVAFOODS,Univa Foods Limited,,,,
1792,UNIVASTU,Univastu India Limited,,,,
1793,UNIVCABLES,Universal Cables Limited,756.95,751.0,724.0,710.0
1794,UNIVPHOTO,Universus Photo Imagings Limited,387.0,390.0,371.05,389.0
1795,UNOMINDA,UNO Minda Limited,1164.0,1167.0,1156.0,1144.15
1796,UPL,UPL Limited,570.5,570.8,567.5,573.25
1797,URJA,Urja Global Limited,21.08,21.2,21.06,21.11
1798,USHAMART,Usha Martin Limited,411.0,402.8,401.75,405.0
1799,USK,Udayshivakumar Infra Limited,,,,
1800,UTIAMC,UTI Asset Management Company Limited,1047.0,1034.2,1025.05,1033.6
1801,UTTAMSUGAR,Uttam Sugar Mills Limited,351.0,346.2,344.0,345.2
1802,V2RETAIL,V2 Retail Limited,,,,
1803,VADILALIND,Vadilal Industries Limited,4409.0,4385.0,4384.95,4401.0
1804,VAIBHAVGBL,Vaibhav Global Limited,321.0,321.35,326.8,331.05
1805,VAISHALI,Vaishali Pharma Limited,167.0,154.0,154.25,156.6
1806,VAKRANGEE,Vakrangee Limited,22.15,22.7,22.89,22.97
1807,VALIANTORG,Valiant Organics Limited,415.4,416.0,418.95,415.45
1808,VARDHACRLC,Vardhman Acrylics Limited,62.9,56.58,56.1,56.15
1809,VARDMNPOLY,Vardhman Polytex Limited,9.5,9.54,9.7,9.95
1810,VARROC,Varroc Engineering Limited,669.0,679.8,665.95,674.6
1811,VASCONEQ,Vascon Engineers Limited,72.71,73.8,73.55,75.49
1812,VASWANI,Vaswani Industries Limited,,,,
1813,VBL,Varun Beverages Limited,1621.0,1610.15,1580.0,1615.0
1814,VCL,Vaxtex Cotfab Limited,,,,
1815,VEDL,Vedanta Limited,469.1,463.7,457.8,467.3
1816,VENKEYS,Venky's (India) Limited,1970.0,1983.0,1990.0,1990.5
1817,VENUSPIPES,Venus Pipes & Tubes Limited,2063.0,2065.95,2077.6,2102.0
1818,VENUSREM,Venus Remedies Limited,371.3,371.0,370.5,361.9
1819,VERANDA,Veranda Learning Solutions Limited,270.0,246.0,267.9,244.23
1820,VERTOZ,Vertoz Advertising Limited,,,,
1821,VESUVIUS,Vesuvius India Limited,5063.0,5060.0,5214.95,5170.0
1822,VETO,Veto Switchgears And Cables Limited,141.29,131.5,129.0,129.0
1823,VGUARD,V-Guard Industries Limited,464.55,458.8,448.5,434.35
1824,VHL,Vardhman Holdings Limited,4130.0,4156.0,4220.0,3992.0
1825,VICEROY,Viceroy Hotels Limited,,,,
1826,VIDHIING,Vidhi Specialty Food Ingredients Limited,440.0,443.0,432.0,438.0
1827,VIJAYA,Vijaya Diagnostic Centre Limited,791.15,792.9,784.9,782.95
1828,VIJIFIN,Viji Finance Limited,,,,
1829,VIKASECO,Vikas EcoTech Limited,4.04,3.88,3.88,3.9
1830,VIKASLIFE,Vikas Lifecare Limited,5.49,5.53,5.58,5.62
1831,VIMTALABS,Vimta Labs Limited,520.0,481.0,487.9,480.7
1832,VINATIORGA,Vinati Organics Limited,1948.0,1910.0,1950.0,1891.0
1833,VINDHYATEL,Vindhya Telelinks Limited,2505.0,2485.0,2490.0,2525.0
1834,VINEETLAB,Vineet Laboratories Limited,58.75,58.69,59.61,57.65
1835,VINNY,Vinny Overseas Limited,4.47,4.44,4.49,4.48
1836,VINYLINDIA,Vinyl Chemicals (India) Limited,419.25,414.0,411.0,414.55
1837,VIPCLOTHNG,VIP Clothing Limited,38.85,38.63,39.0,40.11
1838,VIPIND,VIP Industries Limited,479.8,478.0,476.15,483.1
1839,VIPULLTD,Vipul Limited,50.39,50.49,48.09,45.99
1840,VIRINCHI,Virinchi Limited,34.35,34.53,34.94,35.0
1841,VISAKAIND,Visaka Industries Limited,116.74,116.75,115.5,114.79
1842,VISASTEEL,Visa Steel Limited,,,,
1843,VISESHINFO,Visesh Infotecnics Limited,,,,
1844,VISHAL,Vishal Fabrics Limited,,,,
1845,VISHNU,Vishnu Chemicals Limited,462.5,467.05,466.0,477.0
1846,VISHWARAJ,Vishwaraj Sugar Industries Limited,17.4,17.17,17.11,16.88
1847,VIVIDHA,Visagar Polytex Limited,,,,
1848,VIVIMEDLAB,Vivimed Labs Limited,,,,
1849,VLSFINANCE,VLS Finance Limited,296.0,300.45,301.0,301.1
1850,VMART,V-Mart Retail Limited,3075.05,3050.0,2900.0,2970.45
1851,VOLTAMP,Voltamp Transformers Limited,12890.0,11960.05,11900.0,11987.75
1852,VOLTAS,Voltas Limited,1448.95,1449.0,1448.0,1446.0
1853,VRLLOG,VRL Logistics Limited,593.0,594.55,575.25,570.9
1854,VSSL,Vardhman Special Steels Limited,305.0,314.5,312.0,309.0
1855,VSTIND,VST Industries Limited,4030.5,4078.95,4085.0,4084.0
1856,VSTTILLERS,V.S.T Tillers Tractors Limited,4176.0,4179.0,4160.0,4131.0
1857,VTL,Vardhman Textiles Limited,485.95,481.55,485.0,492.55
1858,WABAG,VA Tech Wabag Limited,1334.5,1324.0,1325.6,1321.85
1859,WALCHANNAG,Walchandnagar Industries Limited,286.02,272.4,259.43,247.08
1860,WANBURY,Wanbury Limited,166.0,164.59,158.94,157.39
1861,WATERBASE,Waterbase Limited,,,,
1862,WEALTH,Wealth First Portfolio Managers Limited,798.9,788.95,797.45,795.0
1863,WEBELSOLAR,Websol Energy System Limited,,,,
1864,WEIZMANIND,Weizmann Limited,,,,
1865,WEL,Wonder Electricals Limited,,,,
